Code_commune_INSEE;Nom_commune;Code_postal;Libelle_acheminement;Ligne_5;coordonnees_gps
70461;ST BROING;70100;ST BROING;;47.4450284828, 5.5835389303
70466;ST LOUP NANTOUARD;70100;ST LOUP NANTOUARD;NANTOUARD;47.4450284828, 5.5835389303
70474;ST SULPICE;70110;ST SULPICE;;47.5606005441, 6.44969851367
70478;SAULX;70240;SAULX;;47.6867941228, 6.30222292395
70479;SAUVIGNEY LES GRAY;70100;SAUVIGNEY LES GRAY;;47.4450284828, 5.5835389303
70483;SCYE;70170;SCYE;;47.7021029356, 6.05287315631
70490;SERVIGNEY;70240;SERVIGNEY;;47.6867941228, 6.30222292395
70516;VALLEROIS LE BOIS;70000;VALLEROIS LE BOIS;;47.6011380255, 6.15589374132
67353;OBERSTEINBACH;67510;OBERSTEINBACH;;49.0227242639, 7.76839928059
67356;OFFENDORF;67850;OFFENDORF;;48.7239519575, 7.9191715322
67358;OFFWILLER;67340;OFFWILLER;;48.9008090946, 7.47211174542
67359;OHLUNGEN;67590;OHLUNGEN;;48.811939028, 7.71713029127
67366;OTTERSTHAL;67700;OTTERSTHAL;;48.7358014882, 7.35473600973
67369;OTTWILLER;67320;OTTWILLER;;48.8529656934, 7.17568129629
67370;PETERSBACH;67290;PETERSBACH;;48.9014582191, 7.32896439484
67380;PRINTZHEIM;67490;PRINTZHEIM;;48.7504133614, 7.47251563059
67384;RANRUPT;67420;RANRUPT;;48.3874894068, 7.1481297444
67395;REUTENBOURG;67440;REUTENBOURG;;48.685560689, 7.36622848676
67404;RITTERSHOFFEN;67690;RITTERSHOFFEN;;48.893568383, 7.99177649059
67405;ROESCHWOOG;67480;ROESCHWOOG;;48.8278022516, 8.03538816239
67411;ROSHEIM;67560;ROSHEIM;;48.4928593453, 7.41301977896
67420;RUSS;67130;RUSS;SCHWARZBACH;48.4803602353, 7.21016561348
67420;RUSS;67130;RUSS;STEINBACH;48.4803602353, 7.21016561348
67424;ST BLAISE LA ROCHE;67420;ST BLAISE LA ROCHE;;48.3874894068, 7.1481297444
67425;ST JEAN SAVERNE;67700;ST JEAN SAVERNE;;48.7358014882, 7.35473600973
67438;SCHAEFFERSHEIM;67150;SCHAEFFERSHEIM;;48.4189432585, 7.66592042678
67439;SCHAFFHOUSE SUR ZORN;67270;SCHAFFHOUSE SUR ZORN;;48.7485075734, 7.5652768188
67443;SCHEIBENHARD;67630;SCHEIBENHARD;;48.9645506647, 8.14057364298
67451;SCHLEITHAL;67160;SCHLEITHAL;;48.9935225292, 7.97087755177
67454;SCHOENBOURG;67320;SCHOENBOURG;;48.8529656934, 7.17568129629
67458;SCHWEIGHOUSE SUR MODER;67590;SCHWEIGHOUSE SUR MODER;;48.811939028, 7.71713029127
01002;L ABERGEMENT DE VAREY;01640;L ABERGEMENT DE VAREY;;46.0337779297, 5.42151732468
01015;ARBOYS EN BUGEY;01300;ARBOYS EN BUGEY;ST BOIS;45.7328309975, 5.65715901636
01019;ARMIX;01510;ARMIX;;45.8480243468, 5.61949053703
01023;ASNIERES SUR SAONE;01570;ASNIERES SUR SAONE;;46.3545794503, 4.88868114295
01031;BELLIGNAT;01100;BELLIGNAT;;46.2468792013, 5.65226081977
01034;BELLEY;01300;BELLEY;;45.7328309975, 5.65715901636
01139;CURCIAT DONGALON;01560;CURCIAT DONGALON;;46.44295833, 5.12304891736
01152;ECHALLON;01130;ECHALLON;;46.1948352393, 5.7148151411
01183;GUEREINS;01090;GUEREINS;;46.0869886552, 4.79611073763
01202;LAGNIEU;01150;LAGNIEU;;45.8772713832, 5.32595701713
01204;LE POIZAT LALLEYRIAT;01130;LE POIZAT LALLEYRIAT;LE POIZAT;46.1948352393, 5.7148151411
01213;LEYMENT;01150;LEYMENT;;45.8772713832, 5.32595701713
01221;LOMPNIEU;01260;LOMPNIEU;;45.9506630232, 5.68746147482
01233;MARCHAMP;01680;MARCHAMP;;45.752622921, 5.55446422211
02090;BILLY SUR OURCQ;02210;BILLY SUR OURCQ;;49.2129002416, 3.35011614589
02433;LISLET;02340;LISLET;;49.6857429854, 4.02291889368
02458;DHUYS ET MORIN EN BRIE;02330;DHUYS ET MORIN EN BRIE;ARTONGES;48.9761149923, 3.54081832468
02458;DHUYS ET MORIN EN BRIE;02540;DHUYS ET MORIN EN BRIE;LA CELLE SOUS MONTMIRAIL;48.9128673746, 3.4403848461
02470;MARTIGNY;02500;MARTIGNY;;49.890758884, 4.10750632589
02487;MISSY SUR AISNE;02880;MISSY SUR AISNE;;49.4238582409, 3.38402828695
